url,status,title,description,word_count,local_path
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2390/2424,200,A regular commensal foraging interaction between cranes and raptors on the Gulf Plains of north-western Queensland  | Grant | Australian Field Ornithology, A regular commensal foraging interaction between cranes and raptors on the Gulf Plains of north-western Queensland ,90,raw/afo/index.php/afo/article/view/2390/2424.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2389,200,A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring  | Frith | Australian Field Ornithology, A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring ,98,raw/afo/index.php/afo/article/view/2389.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2389/2423,200,A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring  | Frith | Australian Field Ornithology, A Laughing Kookaburra assists in raising Blue-winged Kookaburras’ offspring ,90,raw/afo/index.php/afo/article/view/2389/2423.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2388,200,Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake  | Mo | Australian Field Ornithology, Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake ,73,raw/afo/index.php/afo/article/view/2388.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2388/2422,200,Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake  | Mo | Australian Field Ornithology, Agonistic behaviour of the Red Wattlebird  Anthochaera carunculata  towards an elapid snake ,90,raw/afo/index.php/afo/article/view/2388/2422.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2392,200,"Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023  | Dugand | Australian Field Ornithology"," Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023 ",254,raw/afo/index.php/afo/article/view/2392.html
https://afo.birdlife.org.au/afo/index.php/afo/article/view/2392/2426,200,"Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023  | Dugand | Australian Field Ornithology"," Waterbirds and other birds of the Arcoona Lakes, arid South Australia, 2022–2023 ",90,raw/afo/index.php/afo/article/view/2392/2426.html
https://afo.birdlife.org.au/afo/index.php/afo/about/editorialTeam,200,Editorial Team,,202,raw/afo/index.php/afo/about/editorialTeam.html
https://afo.birdlife.org.au/afo/index.php/afo/about/editorialPolicies,200,Editorial Policies,,57,raw/afo/index.php/afo/about/editorialPolicies.html
https://afo.birdlife.org.au/afo/index.php/afo/login/lostPassword,200,Reset Password,,4,raw/afo/index.php/afo/login/lostPassword.html
